"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","SRP-dependent cotranslational protein targeting to membrane","GO:0006614","8.456957178494656e-31","30.072785868438007","96","1554","56","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A,SEC63,SEC61A1"
"GO:BP","viral transcription","GO:0019083","2.4265299918526347e-30","29.61501433644612","178","1554","76","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,IFITM3,RPL3,RPL13A,RPL38,RPL18,POLR2K,RPL7A,RPL36,RPS8,TRIM21,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,NUP37,POLR2G,RPL32,RPS15,RPL23A,HMGA2,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A,HDAC1,NUP54,PSMC3,USF2,NUP188,NUP210,CHD1,POM121C,NUP214,TRIM8,TPR,SMARCA4,RANBP2,POM121,RRP1B,EP300,POLR2A"
"GO:BP","cotranslational protein targeting to membrane","GO:0006613","2.5820963760223587e-30","29.58802755184746","101","1554","57","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,ARL6IP1,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A,SEC63,SEC61A1"
"GO:BP","viral gene expression","GO:0019080","1.0513064586071761e-29","28.97827066752873","195","1554","79","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,IFITM3,RPL3,RPL13A,RPL38,RPL18,POLR2K,RPL7A,RPL36,RPS8,TRIM21,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,NUP37,POLR2G,RPL32,RPS15,RPL23A,HMGA2,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A,HDAC1,NUP54,MCTS1,PSMC3,USF2,EIF3B,NUP188,NUP210,CHD1,POM121C,NUP214,TRIM8,TPR,EIF3A,SMARCA4,RANBP2,POM121,RRP1B,EP300,POLR2A"
"GO:BP","viral process","GO:0016032","2.236969917257953e-29","28.650339856250586","832","1554","183","17847","IFIT1,RSAD2,RPS18,B2M,IFITM1,RPL27,RPS15A,RPS14,UBB,STAT1,CDC42,RPS3,RPL24,OAS2,RPS12,DDX58,RPS13,PLSCR1,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,BST2,ISG15,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,AP1S2,RPS4X,RPS27A,OAS1,RPS24,RPL9,CDK1,IFITM3,PCNA,PSMB1,TCEB1,RPL3,RPL13A,LAMTOR5,CXCR4,VPS29,RPL38,RPL18,POLR2K,RPL7A,DYNLL1,APOBEC3B,RPL36,RPS8,TRIM21,SKP1,RPL35,RPS25,LGALS1,YWHAE,RPS9,RPL31,PSMA3,RPL29,RPLP2,RBX1,SNAPIN,CADM1,RPL8,RPLP0,RPL13,HSPA8,BUB1,MRE11A,PSMB3,RPL28,COPB1,CENPU,SP110,OAS3,PPIA,RPL5,NUP37,IFIT5,KPNA3,EIF4A2,POLR2G,RPL32,HACD3,CCNA2,PSMA4,RPS15,NEDD4,RPL23A,ITGB1,CHMP2B,AP1S1,HMGA2,RPL39,RPS19,CHMP5,RPL11,DERL1,TRIM23,RHOA,XRCC4,CTNNB1,UBA52,PSMB4,RPS7,CHMP2A,RPS3A,AP2S1,DHX58,TSG101,HDAC1,NUP54,BCAP31,MCTS1,PSMC3,USF2,ROCK2,MAVS,EIF3B,PDZD8,NFX1,TSC2,CTBP1,ILF3,CARM1,TLN1,LGALS9,PI4KA,NUP188,CBX5,NUP210,SUPT6H,ZC3H7B,CHD1,POM121C,ADARB1,RAB11FIP4,CAV1,TAF4,ANKRD17,USP7,BRD4,NFIA,NUP214,TRIM8,TPR,ZYX,SND1,EIF3A,GBF1,BCL2,SMARCA4,PABPC1,NOTCH1,IRAK1,RANBP2,POM121,EIF4G1,MAP3K5,NPC1,RPTOR,IGF2R,UBR4,RRP1B,CREBBP,DYRK1A,UPF1,SRCAP,EP300,HCFC1,LARP1,POLR2A,VIM,HIPK2"
"GO:BP","symbiotic process","GO:0044403","4.1149762959432484e-29","28.385632662169986","886","1554","190","17847","IFIT1,RSAD2,RPS18,B2M,IFITM1,RPL27,RPS15A,RPS14,UBB,STAT1,CALM2,CDC42,RPS3,RPL24,OAS2,RPS12,DDX58,RPS13,PLSCR1,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,BST2,ISG15,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,AP1S2,RPS4X,RPS27A,OAS1,RPS24,RPL9,CDK1,IFITM3,PCNA,PSMB1,TCEB1,RPL3,RPL13A,LAMTOR5,CXCR4,VPS29,RPL38,RPL18,POLR2K,RPL7A,DYNLL1,APOBEC3B,RPL36,RPS8,TRIM21,SKP1,RPL35,RPS25,LGALS1,YWHAE,RPS9,RPL31,PSMA3,RPL29,RPLP2,RBX1,SNAPIN,CADM1,RPL8,RPLP0,RPL13,HSPA8,BUB1,MRE11A,PSMB3,RPL28,COPB1,CENPU,SP110,OAS3,PPIA,RPL5,NUP37,IFIT5,KPNA3,EIF4A2,POLR2G,RPL32,HACD3,RAB9A,CCNA2,PSMA4,RPS15,NEDD4,RPL23A,ITGB1,CHMP2B,AP1S1,HMGA2,RPL39,RPS19,CHMP5,RPL11,DERL1,TRIM23,RHOA,XRCC4,CTNNB1,UBA52,PSMB4,RPS7,CHMP2A,RPS3A,AP2S1,DHX58,TSG101,F2RL1,HDAC1,NUP54,BCAP31,MCTS1,PSMC3,USF2,ROCK2,MAVS,EIF3B,PDZD8,NFX1,TSC2,CTBP1,ILF3,CARM1,TLN1,LGALS9,PI4KA,NUP188,CBX5,NUP210,SUPT6H,ZC3H7B,CHD1,POM121C,ADARB1,RAB11FIP4,CAV1,TAF4,ANKRD17,USP7,BRD4,NFIA,NUP214,TRIM8,TPR,ZYX,SND1,EIF3A,GBF1,BCL2,SLC22A5,SMARCA4,PABPC1,INHBB,NOTCH1,IRAK1,RANBP2,POM121,EIF4G1,MAP3K5,NPC1,RPTOR,IGF2R,UBR4,RRP1B,CREBBP,DYRK1A,UPF1,SRCAP,CBL,EP300,HCFC1,LARP1,POLR2A,VIM,HIPK2,SERPINB9"
"GO:BP","protein localization to endoplasmic reticulum","GO:0070972","6.360220496992671e-28","27.196527827910195","137","1554","64","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,BCAP29,RPS15,RPL23A,RPL39,RPS19,RPL11,INSIG1,UBA52,RPS7,RPS3A,PPP1R15A,BCAP31,SEC63,ANK2,SEC16A,GBF1,RYR2,SEC61A1"
"GO:BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184","1.4034987074805994e-27","26.852787982982733","122","1554","60","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,EIF3E,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A,DCP1A,SMG1,PABPC1,UPF2,EIF4G1,UPF1"
"GO:BP","protein targeting to ER","GO:0045047","7.638459944896995e-27","26.11699419441561","109","1554","56","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A,SEC63,SEC61A1"
"GO:BP","establishment of protein localization to endoplasmic reticulum","GO:0072599","8.099464865741039e-27","26.091543674150135","113","1554","57","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A,SEC63,RYR2,SEC61A1"
