"","symbol","control.1","control.2","control.3","E2.treat.1","E2.treat.2","E2.treat.3"
"A1BG","A1BG",137,129,150,136,143,121
"A1BG-AS1","A1BG-AS1",372,400,434,430,386,443
"A2M-AS1","A2M-AS1",72,46,57,46,59,59
"A4GALT","A4GALT",157,166,183,186,250,218
"AAAS","AAAS",2817,2746,2753,2932,3024,3041
"AACS","AACS",1154,1130,1250,1220,1299,1240
"AADAT","AADAT",328,375,384,391,378,428
"AAED1","AAED1",438,368,413,393,448,405
"AAGAB","AAGAB",3158,3102,3136,3166,3383,3256
"AAK1","AAK1",2157,2091,2262,2389,2481,3055
"AAMDC","AAMDC",327,266,326,324,349,377
"AAMP","AAMP",4112,3997,3834,4162,4555,4319
"AAR2","AAR2",1939,1816,1858,1926,2013,2021
"AARD","AARD",56,43,46,36,52,52
"AARS","AARS",13701,13214,13356,13690,14852,14582
"AARS2","AARS2",1591,1387,1620,1769,1708,1914
"AASDH","AASDH",1316,1361,1422,1353,1381,1527
"AASDHPPT","AASDHPPT",5070,4708,4624,4650,5068,5021
"AASS","AASS",2137,2058,2312,2395,2405,2741
"AATF","AATF",3383,3315,3343,3484,3833,3668
"AATK","AATK",266,271,325,300,287,322
"ABAT","ABAT",959,907,963,988,956,1039
"ABCA1","ABCA1",1836,1801,1989,1822,2046,2282
"ABCA11P","ABCA11P",329,339,395,364,379,412
"ABCA17P","ABCA17P",37,22,33,26,20,34
"ABCA2","ABCA2",2012,1908,2167,2316,2333,2571
"ABCA3","ABCA3",5982,5858,6647,6831,7614,7881
"ABCA4","ABCA4",38,28,44,34,35,40
"ABCA5","ABCA5",749,711,709,653,717,804
"ABCA7","ABCA7",1219,1192,1351,1354,1214,1477
"ABCA8","ABCA8",63,61,77,70,76,71
"ABCB1","ABCB1",2352,2548,2777,2607,2874,2888
"ABCB10","ABCB10",2341,2196,2215,2346,2586,2503
"ABCB4","ABCB4",107,111,111,130,137,145
"ABCB6","ABCB6",545,484,564,534,591,619
"ABCB7","ABCB7",2207,2074,2078,1985,2117,2086
"ABCB8","ABCB8",2181,2057,2199,2314,2293,2500
"ABCB9","ABCB9",279,288,275,253,311,306
"ABCC1","ABCC1",3983,3903,4373,4389,5018,5183
"ABCC10","ABCC10",964,952,1113,1129,1031,1203
"ABCC11","ABCC11",52,52,60,52,62,60
"ABCC2","ABCC2",51,30,50,60,47,55
"ABCC4","ABCC4",2488,2400,2575,2419,2713,2715
"ABCC5","ABCC5",2059,1896,2274,2309,2255,2675
"ABCC6","ABCC6",127,120,143,137,134,199
"ABCC8","ABCC8",217,217,258,249,265,319
"ABCD1","ABCD1",731,687,774,752,742,818
"ABCD3","ABCD3",4584,4287,4398,4303,4766,4802
"ABCD4","ABCD4",1660,1627,1788,1748,1818,1891
"ABCE1","ABCE1",3739,3254,3319,3384,3613,3910
"ABCF1","ABCF1",1930,1917,1985,2136,2175,2321
"ABCF2","ABCF2",5958,5951,6157,6079,6473,6244
"ABCF3","ABCF3",851,818,866,924,908,876
"ABCG1","ABCG1",5205,5153,5416,4883,5258,5397
"ABCG2","ABCG2",115,103,106,110,149,116
"ABCG4","ABCG4",98,102,110,119,89,121
"ABHD1","ABHD1",100,117,113,111,96,144
"ABHD10","ABHD10",2614,2465,2432,2469,2527,2542
"ABHD11","ABHD11",930,846,889,976,915,951
"ABHD12","ABHD12",1931,1810,1960,1960,2141,2070
"ABHD13","ABHD13",806,715,743,732,768,861
"ABHD14A","ABHD14A",277,232,253,265,285,266
"ABHD14B","ABHD14B",1212,1102,1222,1181,1295,1301
"ABHD15","ABHD15",954,917,996,902,1043,1114
"ABHD16A","ABHD16A",598,623,648,615,693,701
"ABHD17A","ABHD17A",287,250,259,285,269,311
"ABHD17B","ABHD17B",851,875,854,864,920,939
"ABHD17C","ABHD17C",1338,1193,1238,1302,1403,1401
"ABHD18","ABHD18",461,422,395,406,386,478
"ABHD2","ABHD2",4892,4885,5464,5183,5989,6266
"ABHD3","ABHD3",1803,1631,1830,1783,1801,1946
"ABHD4","ABHD4",525,550,522,550,616,569
"ABHD5","ABHD5",1406,1195,1274,1312,1385,1393
"ABHD6","ABHD6",802,745,807,745,841,907
"ABHD8","ABHD8",317,300,291,269,286,296
"ABI1","ABI1",2597,2381,2447,2489,2593,2562
"ABI2","ABI2",4642,4357,4544,4633,4899,5089
"ABI3BP","ABI3BP",34,36,53,32,34,46
"ABL1","ABL1",3613,3470,3764,3757,3981,4041
"ABL2","ABL2",2605,2496,2846,2873,3083,3544
"ABLIM1","ABLIM1",5835,5376,6063,6238,6642,7123
"ABLIM2","ABLIM2",77,94,90,88,92,90
"ABLIM3","ABLIM3",140,163,148,164,182,208
"ABR","ABR",3280,3124,3436,3617,3526,3743
"ABRACL","ABRACL",1488,1462,1449,1364,1436,1377
"ABT1","ABT1",1263,1215,1116,1343,1307,1308
"ABTB1","ABTB1",137,155,138,156,123,159
"ABTB2","ABTB2",1095,1103,1096,1175,1200,1280
"ACAA1","ACAA1",1329,1341,1409,1423,1425,1472
