"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","SRP-dependent cotranslational protein targeting to membrane","GO:0006614","3.83036091756073e-46","45.41676030250131","96","723","54","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A"
"GO:BP","cotranslational protein targeting to membrane","GO:0006613","5.476377938793779e-46","45.261506587735134","101","723","55","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,ARL6IP1,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A"
"GO:BP","protein targeting to ER","GO:0045047","3.7808675836028035e-42","41.42240853256014","109","723","54","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A"
"GO:BP","establishment of protein localization to endoplasmic reticulum","GO:0072599","4.600024937641987e-41","40.33723981391604","113","723","54","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A"
"GO:BP","protein localization to endoplasmic reticulum","GO:0070972","1.485825349356333e-40","39.828032236516556","137","723","58","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,SRP9,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,BCAP29,RPS15,RPL23A,RPL39,RPS19,RPL11,INSIG1,UBA52,RPS7,RPS3A,PPP1R15A,BCAP31"
"GO:BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184","8.107953014944575e-39","38.09108877667975","122","723","54","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,RPL3,RPL13A,RPL38,RPL18,RPL7A,RPL36,RPS8,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,EIF3E,RPL8,RPLP0,RPL13,RPL28,RPL5,RPL32,RPS15,RPL23A,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A"
"GO:BP","viral transcription","GO:0019083","1.7889202977925298e-37","36.747409008230825","178","723","62","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,IFITM3,RPL3,RPL13A,RPL38,RPL18,POLR2K,RPL7A,RPL36,RPS8,TRIM21,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,NUP37,POLR2G,RPL32,RPS15,RPL23A,HMGA2,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A,HDAC1,NUP54,PSMC3"
"GO:BP","viral gene expression","GO:0019080","7.352166097132541e-36","35.133584690107625","195","723","63","17847","RPS18,RPL27,RPS15A,RPS14,RPS3,RPL24,RPS12,RPS13,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,RPS4X,RPS27A,RPS24,RPL9,IFITM3,RPL3,RPL13A,RPL38,RPL18,POLR2K,RPL7A,RPL36,RPS8,TRIM21,RPL35,RPS25,RPS9,RPL31,RPL29,RPLP2,RPL8,RPLP0,RPL13,RPL28,RPL5,NUP37,POLR2G,RPL32,RPS15,RPL23A,HMGA2,RPL39,RPS19,RPL11,UBA52,RPS7,RPS3A,HDAC1,NUP54,MCTS1,PSMC3"
"GO:BP","viral process","GO:0016032","3.254424555900569e-34","33.487525791824005","832","723","124","17847","IFIT1,RSAD2,RPS18,B2M,IFITM1,RPL27,RPS15A,RPS14,UBB,STAT1,CDC42,RPS3,RPL24,OAS2,RPS12,DDX58,RPS13,PLSCR1,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,BST2,ISG15,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,AP1S2,RPS4X,RPS27A,OAS1,RPS24,RPL9,CDK1,IFITM3,PCNA,PSMB1,TCEB1,RPL3,RPL13A,LAMTOR5,CXCR4,VPS29,RPL38,RPL18,POLR2K,RPL7A,DYNLL1,APOBEC3B,RPL36,RPS8,TRIM21,SKP1,RPL35,RPS25,LGALS1,YWHAE,RPS9,RPL31,PSMA3,RPL29,RPLP2,RBX1,SNAPIN,CADM1,RPL8,RPLP0,RPL13,HSPA8,BUB1,MRE11A,PSMB3,RPL28,COPB1,CENPU,SP110,OAS3,PPIA,RPL5,NUP37,IFIT5,KPNA3,EIF4A2,POLR2G,RPL32,HACD3,CCNA2,PSMA4,RPS15,NEDD4,RPL23A,ITGB1,CHMP2B,AP1S1,HMGA2,RPL39,RPS19,CHMP5,RPL11,DERL1,TRIM23,RHOA,XRCC4,CTNNB1,UBA52,PSMB4,RPS7,CHMP2A,RPS3A,AP2S1,DHX58,TSG101,HDAC1,NUP54,BCAP31,MCTS1,PSMC3"
"GO:BP","symbiotic process","GO:0044403","2.303870190868825e-33","32.63754199442311","886","723","127","17847","IFIT1,RSAD2,RPS18,B2M,IFITM1,RPL27,RPS15A,RPS14,UBB,STAT1,CALM2,CDC42,RPS3,RPL24,OAS2,RPS12,DDX58,RPS13,PLSCR1,RPS5,RPL26,RPS6,RPS20,RPS16,RPL30,RPL37A,BST2,ISG15,RPS21,RPS11,RPL35A,RPL27A,RPL10A,RPL12,RPSA,AP1S2,RPS4X,RPS27A,OAS1,RPS24,RPL9,CDK1,IFITM3,PCNA,PSMB1,TCEB1,RPL3,RPL13A,LAMTOR5,CXCR4,VPS29,RPL38,RPL18,POLR2K,RPL7A,DYNLL1,APOBEC3B,RPL36,RPS8,TRIM21,SKP1,RPL35,RPS25,LGALS1,YWHAE,RPS9,RPL31,PSMA3,RPL29,RPLP2,RBX1,SNAPIN,CADM1,RPL8,RPLP0,RPL13,HSPA8,BUB1,MRE11A,PSMB3,RPL28,COPB1,CENPU,SP110,OAS3,PPIA,RPL5,NUP37,IFIT5,KPNA3,EIF4A2,POLR2G,RPL32,HACD3,RAB9A,CCNA2,PSMA4,RPS15,NEDD4,RPL23A,ITGB1,CHMP2B,AP1S1,HMGA2,RPL39,RPS19,CHMP5,RPL11,DERL1,TRIM23,RHOA,XRCC4,CTNNB1,UBA52,PSMB4,RPS7,CHMP2A,RPS3A,AP2S1,DHX58,TSG101,F2RL1,HDAC1,NUP54,BCAP31,MCTS1,PSMC3"
