"GeneName","rank"
"DCHS1",-23.0620440780488
"MYOF",-18.8892675041187
"WNT16",-18.7951914961784
"HSPB8",-18.4968203367886
"NEFH",-16.7537665378469
"SYTL5",-16.2491554270141
"PGR",-15.7576339893629
"GREB1",-15.6804364633546
"SERPINB9",-15.3740124891123
"TSKU",-14.9089203819911
"OXT",-14.6320733690009
"ACSS1",-14.3933161004469
"HIPK2",-13.4576209268858
"VCAN",-13.375373821019
"LONRF2",-13.2620086700726
"SLC9A3R1",-12.464605770227
"DCX",-12.4616949714233
"GADD45B",-12.1068787108502
"CA12",-11.5386363752406
"IGFBP4",-11.1328774464155
"TIMP3",-11.083380719381
"METRNL",-11.0397321355898
"VEGFA",-10.8507847621635
"OTOF",-10.8023916059674
"JUND",-10.6643184618461
"KCNN3",-10.2760605660781
"GPC1",-10.2593432981205
"OPHN1",-10.2296688277302
"AKNA",-10.0705732495577
"VIM",-9.99847074563157
"FHDC1",-9.97474131613697
"PLEKHH1",-9.92601053189787
"COL18A1",-9.75416392691122
"SHANK2",-9.68548156846007
"KMT2C",-9.55380578501052
"TFCP2L1",-9.48801397691937
"C5AR2",-9.43654039419341
"EPAS1",-9.42988171664477
"CAPN12",-9.23035615860756
"SDK2",-9.06273056093879
"RASGRP3",-8.98426169326301
"ERN1",-8.93007639479809
"COL6A3",-8.66038147751886
"B3GNT6",-8.64116300182757
"ATP6V1C2",-8.56770683094747
"ZMIZ1",-8.38443387560568
"NRIP1",-8.34653855941015
"FOXK1",-8.17704743692707
"CSRP2",-8.07608579082108
"SIAH2",-8.04225360961498
"CCDC88C",-8.00357787275839
"IL17RB",-7.97135265690677
"EN2",-7.9380625569051
"NFIC",-7.79287576444217
"TMOD1",-7.70299708039425
"HPGD",-7.65015900606745
"KIF21A",-7.64771638475719
"POLR2A",-7.64492003346228
"PRSS23",-7.62139198536783
"HK1",-7.60565881596504
"SERPINA6",-7.59573399202336
"GOLGA4",-7.54924635248701
"TMEM2",-7.49146179653863
"AKAP1",-7.48431585091906
"MANEAL",-7.47847748713637
"DYNC1H1",-7.46570387426255
"RAB31",-7.41077748093916
